Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,Dream_11 round 1,Dream_11_2024_avg,Weighted_Score
Pravin Dubey,6,Bowler,Punjab Kings,2,23,33,1,2,23,69.6969697,69.56521739,4,66,91,1,91,8.27,66,15.5,0,0,9.3
Sanju Samson,9,Batter/Wicketkeeper,Rajasthan Royals,163,4419,3180,352,206,30.69,138.9622642,59.8325413,0,0,0,0,0,0,0,43.3803681,65,56,50.67822086
Yashasvi Jaiswal,9,Batter,Rajasthan Royals,52,1607,1067,198,64,32.14,150.6091846,73.17983821,1,1,6,0,0,0,0,53.71153846,39.666667,54,50.24358983
Riyan Parag,8,All-rounder,Rajasthan Royals,58,1173,868,84,60,24.44,135.1382488,59.33503836,21,175,307,4,76.75,10.53,43.75,33.94827586,57.666667,47,41.83563227
Dhruv Jurel,7.5,Batter/Wicketkeeper,Rajasthan Royals,22,347,229,29,16,23,151.5283843,61.09510086,0,0,0,0,0,0,0,25.86363636,73.333333,41,40.00151507
Shimron Hetmyer,7.5,Batter,Rajasthan Royals,66,1243,812,76,82,31.08,153.0788177,64.03861625,0,0,0,0,0,0,0,31.04545455,52,34,36.72727273
Sandeep Sharma,7.5,Bowler,Rajasthan Royals,27,54,70,4,0,9,77.14285714,29.62962963,126,2822,3709,137,27.07,7.89,20.6,27.73809524,23,35,27.64285714
Jofra Archer,8,Bowler,Rajasthan Royals,25,199,128,12,11,15.31,155.46875,57.28643216,40,945,1171,48,24.4,7.43,19.69,37.925,33.666667,42,37.47166675
Maheesh Theekshana,7.5,Bowler,Rajasthan Royals,2,7,7,1,0,7,100,57.14285714,27,624,797,25,31.88,7.66,24.96,23.55555556,29.333333,32,26.26666659
Wanindu Hasaranga,8.5,All-rounder,Rajasthan Royals,14,72,73,7,1,7.2,98.63013699,47.22222222,26,552,748,35,21.37,8.13,15.77,37.73076923,83.5,43,49.96346154
Akash Madhwal,7,Bowler,Rajasthan Royals,1,4,5,1,0,4,80,100,13,262,424,19,22.32,9.71,13.79,37.15384615,0,39,28.14230769
Kumar Kartikeya,6,Bowler,Rajasthan Royals,2,9,12,1,0,4.5,75,44.44444444,2,234,329,10,32.9,8.44,23.4,131.5,7,30,85.15
Nitish Rana,7.5,All-rounder,Rajasthan Royals,101,2636,1952,234,132,28.34,135.0409836,65.5538695,24,180,252,10,25.2,8.4,18,45.7029703,69.333333,40,50.75511543
Tushar Deshpande,7.5,Bowler,Rajasthan Royals,4,21,14,3,2,21,150,114.2857143,36,773,1243,42,29.6,9.65,18.4,30.47222222,38,46,34.68333333
Shubham Dubey,5.5,Batter,Rajasthan Royals,3,33,19,1,3,16.5,173.6842105,66.66666667,0,0,0,0,0,0,0,22.33333333,46.5,33,29.975
Yudhvir Singh Charak,6.5,All-rounder,Rajasthan Royals,4,22,16,0,1,5.5,137.5,27.27272727,5,72,122,4,30.5,10.17,18,25.6,0,0,15.36
FazalHaq Farooqi,7,Bowler,Rajasthan Royals,2,3,13,2,0,0,23.07692308,266.6666667,7,152,227,6,37.83,8.96,25.33,22.14285714,0,32,18.08571428
Vaibhav Suryavanshi,5,Batter,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwena Maphaka,6,Bowler,Rajasthan Royals,0,0,0,0,0,0,0,0,2,36,89,1,89,14.83,36,6.5,0,22,7.2
Ashok Sharma,5,Bowler,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunal Singh Rathore,5,Batter/Wicketkeeper,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virat Kohli,9,Batter,Royal Challengers Bengaluru,244,8004,6065,705,272,38.67,131.9703215,55.62218891,26,251,368,4,92,8.8,62.75,51.46721311,59,76,57.03032787
Rajat Patidar,8,Batter,Royal Challengers Bengaluru,24,799,503,51,54,34.74,158.8469185,66.08260325,0,0,0,0,0,0,0,55.70833333,66.333333,47,57.05833325
Yash Dayal,7,Bowler,Royal Challengers Bengaluru,1,0,1,0,0,0,0,0,28,577,920,28,32.86,9.57,20.61,24.78571429,42.333333,42,31.75476182
Liam Livingstone,8,All-rounder,Royal Challengers Bengaluru,39,939,578,66,66,28.45,162.4567474,70.28753994,22,258,393,11,35.73,9.14,23.45,48.15384615,75.333333,42,54.02564094
Philip Salt,8.5,Wicketkeeper/Batter,Royal Challengers Bengaluru,21,653,372,74,34,34.37,175.5376344,76.56967841,0,0,0,0,0,0,0,55.47619048,83.333333,54,62.21904754
Jitesh Sharma,7.5,Batter/Wicketkeeper,Royal Challengers Bengaluru,36,730,483,53,45,22.81,151.1387164,66.02739726,0,0,0,0,0,0,0,33.94444444,51,34,38.21666666
Josh Hazlewood,8.5,Bowler,Royal Challengers Bengaluru,6,19,28,6,1,0,67.85714286,157.8947368,27,603,810,35,23.14,8.06,17.23,34.14814815,70.333333,50,45.57222214
Rasikh Salam,6.5,Bowler,Royal Challengers Bengaluru,6,40,40,1,5,8,100,85,11,195,339,9,37.67,10.43,21.67,27,23.5,42,28.375
Suyash Sharma,6,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,13,258,372,10,37.2,8.65,0,18.76923077,27.5,30,22.63653846
Krunal Pandya,7.5,All-rounder,Royal Challengers Bengaluru,111,1647,1240,144,61,21.96,132.8225806,57.19489982,117,2122,2606,76,34.29,7.37,27.92,38.38461538,42.333333,40,39.61410248
Bhuvneshwar Kumar,8,Bowler,Royal Challengers Bengaluru,68,306,326,30,3,8.74,93.86503067,45.09803922,176,3910,4929,181,27.23,7.56,21.6,28.23295455,43,40,33.68977273
Swapnil Singh,7,All-rounder,Royal Challengers Bengaluru,9,51,45,3,3,10.2,113.3333333,58.82352941,14,162,241,7,34.43,8.93,23.14,18.28571429,0,32,15.77142857
Tim David,7.5,Batter,Royal Challengers Bengaluru,35,659,387,38,46,28.65,170.2842377,64.94688923,0,0,0,0,0,0,0,31.4,59,38,39.29
Romario Shepherd,7,All-rounder,Royal Challengers Bengaluru,9,115,63,4,7,23,182.5396825,50.43478261,8,126,257,4,64.25,12.24,31.5,30.33333333,0,0,18.2
Nuwan Thushara,7.5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,7,156,257,8,32.13,9.88,19.5,27.71428571,0,25,20.37857143
Manoj Bhandage,6.5,All-rounder,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.75
Jacob Bethell,7,Batter,Royal Challengers Bengaluru,9,196,133,14,11,32.67,147.3684211,62.24489796,1,18,28,0,0,9.33,0,35.55555556,0,32,26.13333334
Devdutt Padikkal,7,Batter,Royal Challengers Bengaluru,64,1559,1266,169,42,25.15,123.1437599,59.52533675,0,0,0,0,0,0,0,38.953125,30.333333,23.4,34.46520825
Swastik Chikara,5.5,Batter,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohit Rathee,6,All-rounder,Royal Challengers Bengaluru,1,1,2,0,0,0,50,0,1,12,29,0,0,14.5,0,-9,0,0,-5.4
Abhinandan Singh,5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lungi Ngidi,7.5,Bowler,Royal Challengers Bengaluru,0,0,0,0,0,0,0,0,14,324,448,25,17.92,8.3,12.96,44.21428571,0,30,31.02857143
Heinrich Klaasen,9,Batter/Wicketkeeper,Sunrisers Hyderabad,32,993,590,56,64,38.19,168.3050847,61.2286002,0,0,0,0,0,0,0,50.34375,66,52,54.50625
Pat Cummins,8.5,Bowler,Sunrisers Hyderabad,41,515,344,33,34,19.81,149.7093023,65.24271845,58,1319,1923,63,30.52,8.75,20.94,41.86206897,66.5,50,49.24224138
Abhishek Sharma,8.5,All-rounder,Sunrisers Hyderabad,61,1376,887,128,73,25.48,155.1296505,69.04069767,26,270,389,11,35.36,8.64,24.55,42.70491803,28.666667,51,40.43961757
Travis Head,9,Batter,Sunrisers Hyderabad,25,772,444,76,40,36.76,173.8738739,70.46632124,6,58,113,2,56.5,11.69,29,54.72,94.666667,55,64.74866675
K Nitish Reddy,8,All-rounder,Sunrisers Hyderabad,11,303,212,15,21,33.67,142.9245283,61.38613861,9,109,207,3,69,11.39,36.33,51.09090909,61,46,52.80454545
Mohammed Shami,8.5,Bowler,Sunrisers Hyderabad,25,74,79,6,2,5.69,93.67088608,48.64864865,110,2426,3411,127,26.86,8.44,19.1,29.86363636,27.333333,42,31.05151507
Harshal Patel,8,Bowler,Sunrisers Hyderabad,42,249,203,16,15,9.22,122.6600985,61.84738956,103,2161,3149,135,23.33,8.74,16.01,36.67961165,42,54,40.60776699
Ishan Kishan,8,Wicketkeeper/Batter,Sunrisers Hyderabad,99,2644,1946,255,119,28.43,135.8684481,65.58245083,0,0,0,0,0,0,0,44.3030303,113,47,61.88181818
Rahul Chahar,6.5,Bowler,Sunrisers Hyderabad,24,129,124,13,5,8.06,104.0322581,63.56589147,77,1664,2141,75,28.55,7.72,22.19,27.09090909,0,36,21.65454545
Adam Zampa,7.5,Bowler,Sunrisers Hyderabad,5,15,24,1,0,3,62.5,26.66666667,20,419,558,29,19.24,7.99,14.45,37.1,30,40,35.76
Abhinav Manohar,6.5,Batter,Sunrisers Hyderabad,15,231,174,21,10,16.5,132.7586207,62.33766234,0,0,0,0,0,0,0,25.53333333,13,30,23.07
Wiaan Mulder,7,All-rounder,Sunrisers Hyderabad,8,105,90,8,3,17.5,116.6666667,47.61904762,10,120,195,8,24.38,9.75,15,35.5,26,0,27.8
Atharva Taide,6.5,Batter,Sunrisers Hyderabad,9,247,168,27,8,27.44,147.0238095,63.15789474,1,1,4,0,0,0,0,45.66666667,0,42,33.7
Simarjeet- Singh,6,Bowler,Sunrisers Hyderabad,3,7,8,0,0,7,87.5,0,10,180,259,9,28.78,8.63,20,23.2,31,36,27.07
Zeeshan Ansari,5.5,Bowler,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,25.5
Jaydev Unadkat,7,Bowler,Sunrisers Hyderabad,32,197,166,16,7,12.31,118.6746988,53.8071066,104,2131,3189,99,32.21,8.98,21.53,26.71153846,0,33,20.97692308
Kamindu Mendis,7,Batter,Sunrisers Hyderabad,21,381,311,39,13,19.5,122.5080386,61.41732283,9,108,148,2,74,8.22,54,31.66666667,0,32,23.8
Aniket Verma,5,Batter,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.666667,30,24.91666675
Eshan Malinga,6,Bowler,Sunrisers Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachin Baby,6.5,Batter,Sunrisers Hyderabad,11,144,118,11,5,16,122.0338983,51.38888889,2,10,8,2,4,4.8,5,24.90909091,0,23,18.39545455
